region_first,region_last,n_clusters,n_tot_clusters,i_wave,prop,lower_prop,upper_prop,lower_prop_bootstrap,upper_prop_bootstrap
Peninsula/Coastal,Northeast,2,15,3,0.13333333333333333,0.02343804232955003,0.41611009756787287,0,0.3333333333333333
Peninsula/Coastal,Northwest,12,28,3,0.42857142857142855,0.2502694938470744,0.6256815446372348,0.25,0.6071428571428571
Peninsula/Coastal,South Central,20,32,3,0.625,0.43749594901321337,0.7833580471166564,0.46875,0.78125
Peninsula/Coastal,South Puget Sound,56,111,3,0.5045045045045045,0.40855315110213974,0.6001401569592837,0.4144144144144144,0.5945945945945946
Peninsula/Coastal,Southeast,4,4,3,1,0.3957730344827787,1,1,1
Peninsula/Coastal,Southwest,11,15,3,0.7333333333333333,0.44832471666982554,0.910863725886096,0.4666666666666667,0.9333333333333333
South Central,North Central,16,48,3,0.3333333333333333,0.20807940242446057,0.48513569768803816,0.20833333333333334,0.4791666666666667
South Central,North Puget Sound,158,418,3,0.37799043062200954,0.3316601090437277,0.4265997947530551,0.33253588516746413,0.4258373205741627
South Central,Northeast,15,31,3,0.4838709677419355,0.3055826337524783,0.6660236394767594,0.3225806451612903,0.6451612903225806
South Central,Northwest,7,33,3,0.21212121212121213,0.09631301283009877,0.39398710580708207,0.09090909090909091,0.36363636363636365
South Central,Peninsula/Coastal,12,32,3,0.375,0.2166419528833437,0.5625040509867866,0.21875,0.53125
South Central,South Puget Sound,17,71,3,0.23943661971830985,0.1494608941266504,0.3579919459596526,0.14084507042253522,0.3380281690140845
South Central,Southeast,8,24,3,0.3333333333333333,0.1642653690706669,0.5530744861533816,0.16666666666666666,0.5416666666666666
South Central,Southwest,4,18,3,0.2222222222222222,0.07372310219721734,0.48081385389194586,0.05555555555555555,0.4444444444444444
South Puget Sound,North Central,21,34,3,0.6176470588235294,0.43624741783608734,0.7731277516572549,0.4411764705882353,0.7647058823529411
South Puget Sound,North Puget Sound,311,588,3,0.5289115646258503,0.4876597586931381,0.5697801742827746,0.4880952380952381,0.5697278911564626
South Puget Sound,Northeast,29,47,3,0.6170212765957447,0.4638127826218597,0.751247101389004,0.46808510638297873,0.7446808510638298
South Puget Sound,Northwest,52,82,3,0.6341463414634146,0.5199137391374424,0.7356874810386672,0.524390243902439,0.7317073170731707
South Puget Sound,Peninsula/Coastal,55,111,3,0.4954954954954955,0.39985984304071615,0.5914468488978603,0.40540540540540543,0.5855855855855856
South Puget Sound,South Central,54,71,3,0.7605633802816901,0.6420080540403473,0.8505391058733496,0.6619718309859155,0.8591549295774648
South Puget Sound,Southeast,6,10,3,0.6,0.27366968961231825,0.8630694365299644,0.3,0.9
South Puget Sound,Southwest,43,51,3,0.8431372549019608,0.7086243737449589,0.9251586068347667,0.7450980392156863,0.9411764705882353
Southeast,North Central,5,9,3,0.5555555555555556,0.22652922988939753,0.8465694424914205,0.2222222222222222,0.8888888888888888
Southeast,North Puget Sound,5,13,3,0.38461538461538464,0.1513399044670356,0.6772279223979485,0.15384615384615385,0.6923076923076923
Southeast,Northeast,15,22,3,0.6818181818181818,0.451157300236399,0.8526569450805512,0.5,0.8636363636363636
Southeast,Northwest,2,4,3,0.5,0.15003898915214955,0.8499610108478505,0,1
